height,weight,bust,waist,hip,shape,img
65,107.0,39,34,32,apple,ml\training_data\apple\1.png
70,110.6,35,40,32,apple,ml\training_data\apple\2.png
70,149.3,39,40,38,apple,ml\training_data\apple\3.png
70,128.8,41,38,33,apple,ml\training_data\apple\4.png
70,125.4,39,40,33,apple,ml\training_data\apple\5.png
66,142.6,45,40,35,apple,ml\training_data\apple\6.png
67,131.9,45,36,33,apple,ml\training_data\apple\7.png
67,115.6,41,34,32,apple,ml\training_data\apple\8.png
68,138.6,40,40,36,apple,ml\training_data\apple\9.png
66,115.0,32,40,36,apple,ml\training_data\apple\10.png
68,135.9,37,40,37,apple,ml\training_data\apple\11.png
68,116.4,40,36,32,apple,ml\training_data\apple\12.png
69,130.1,32,40,38,apple,ml\training_data\apple\13.png
65,96.0,34,36,32,apple,ml\training_data\apple\14.png
66,127.4,42,36,34,apple,ml\training_data\apple\15.png
68,126.7,41,40,33,apple,ml\training_data\apple\16.png
66,133.6,42,38,35,apple,ml\training_data\apple\17.png
65,125.7,44,36,33,apple,ml\training_data\apple\18.png
68,138.5,45,36,34,apple,ml\training_data\apple\19.png
68,103.0,34,38,32,apple,ml\training_data\apple\20.png
70,121.4,38,38,33,apple,ml\training_data\apple\21.png
69,129.2,45,34,32,apple,ml\training_data\apple\22.png
69,136.4,39,38,36,apple,ml\training_data\apple\23.png
68,119.7,33,38,36,apple,ml\training_data\apple\24.png
69,131.0,42,40,33,apple,ml\training_data\apple\25.png
65,114.6,37,38,34,apple,ml\training_data\apple\26.png
69,148.1,45,40,35,apple,ml\training_data\apple\27.png
66,110.3,39,36,32,apple,ml\training_data\apple\28.png
69,146.6,45,38,35,apple,ml\training_data\apple\29.png
66,118.8,43,34,32,apple,ml\training_data\apple\30.png
67,115.1,39,40,32,apple,ml\training_data\apple\31.png
65,137.9,40,40,37,apple,ml\training_data\apple\32.png
66,110.8,38,40,32,apple,ml\training_data\apple\33.png
67,121.7,32,40,37,apple,ml\training_data\apple\34.png
67,115.5,34,38,35,apple,ml\training_data\apple\35.png
65,155.2,45,40,38,apple,ml\training_data\apple\36.png
70,132.1,41,36,34,apple,ml\training_data\apple\37.png
69,134.1,40,38,35,apple,ml\training_data\apple\38.png
69,132.0,43,38,33,apple,ml\training_data\apple\39.png
68,141.1,41,40,36,apple,ml\training_data\apple\40.png
66,125.0,36,40,36,apple,ml\training_data\apple\41.png
70,140.7,40,38,36,apple,ml\training_data\apple\42.png
66,144.7,42,40,37,apple,ml\training_data\apple\43.png
66,114.1,38,38,33,apple,ml\training_data\apple\44.png
68,127.9,44,38,32,apple,ml\training_data\apple\45.png
69,131.2,44,40,32,apple,ml\training_data\apple\46.png
68,116.4,33,40,35,apple,ml\training_data\apple\47.png
68,148.2,40,40,38,apple,ml\training_data\apple\48.png
69,147.7,41,40,37,apple,ml\training_data\apple\49.png
65,108.5,39,36,32,apple,ml\training_data\apple\50.png
70,119.9,38,36,33,apple,ml\training_data\apple\51.png
65,104.8,35,38,33,apple,ml\training_data\apple\52.png
65,111.1,35,40,34,apple,ml\training_data\apple\53.png
66,119.1,40,38,33,apple,ml\training_data\apple\54.png
68,128.4,34,40,37,apple,ml\training_data\apple\55.png
